"ses kalitesi ve ergonomisi rezalet, sony olduğu için aldım ama 4'de 1 fiyatına çin replika ürün alsaydım çok çok daha iyiydi, kesinlikle tavsiye etmiyorum.",Olumsuz
hizli teslimat tesekkürler,Tarafsız
ses olayı süper....gece çalıştır sıkıntı yok.....kablo uzun işinizi çok rahat ettirir.....çekme olayı son derece güzel içiniz rahat olsun......diğerlerini saymıyorum bile.....,Olumlu
geldi bigün kullandık hemen bozoldu hiçtavsiye. etmem,Olumsuz
"Giriş seviyesindeki kullanıcılar için kabul edilebilir sonuçlar veren bir lens, fokus motoru ve makro çekimleri kaliteli sonuçlar veriyor. Şunu da belirtmek lazım ki belli bir süre kullandıktan sonra daha kaliteli bir lens ihtiyacı hissedeceksiniz.",Tarafsız
kullanisli baya,Olumlu
Dezavantajlar : Pahalı ürün<br />Merhabalar bu lens başka yerlerde 327 tl ile 389 tl arası satılıyor neden Mediamarkta pahalı fiyat düşürürseniz sizden alacağım,Tarafsız
ÜRÜN GÜZEL BU PARALARA BAŞKA BULAMAZSINIZ,Tarafsız
Tasarım ve kalite iyi olmasına rağmen yazma hızı oldukça düşük kalıyor.,Tarafsız
Çok değil çekim gücü az olduğu için 3 puan,Tarafsız
İki kere aldım ikisindede gelen jöle kutusu kırılmış ve içinde jöle paketin içine yayılmıştı.sorun aras kargo ise başka kargo şirketi ile gönderin..,Olumsuz
"Klavye tuşları basmakla basmamak arasında kalıyor. Mouse ara sıra
takılma yapıyor. Başka da bir şey yok.",Tarafsız
"WPA2 ile sorun yaşayanlar eğer masaüstü bilgisayarını kablosuz ağ adaptörü ile kablosuz modeme bağlanmaya çalışıyorsa ağ adaptörünün özelliklerinden (Ağ Bağlantılarımdan kablosuz ağ adaptörüne sağ tıklayıp, özellikler menüsünden güvenlik bölümünden) şifrelemeyi WPA2-PSK seçmeliler.",Olumsuz
"Ürün pompasız geliyor. Onun dışında güzel ürün. Pompası olmadığı için 2
yıldız kırdım. Mağaza ürünü zamanında gönderdi.ürün iyi paketlenmişti.",Tarafsız
bu ürünü geçen sene almıştım çok fazla kullanmamama rağmen orta ısıtıcısı bozuldu tavsiye etmem,Olumsuz
Mukemmel bir ürün kesinlikle alın,Olumlu
"Ürünü genellikle oyun oynayan oğlum için aldım. SD kart takılabildiği için hafızayı artırabileceğimi düşünmüştüm. Bu nedenle ürünle birlikte 16 GB de hafıza kartı aldım. Ancak ürünü kullandıkça gördüm ki hafıza kartı, pratikte pek bir işe yaramıyor. Şöyle ki, android uygulamaların hemen hemen hepsi, kurulumda öncelikle telefon hafızasına kuruluyor. Tabletin ayarlar kısmında uygulama taşı diye bir özellik var ama yine android uygulamalarının büyük çoğunluğu hafıza karta taşınamıyor. 8 GB hafızanız dolduğundaki çok çabuk doluyor, yeni uygulama yüklemek için eskilerden silmeniz gerekiyor. Özet olarak 16 GB kart takınca cihaz otomatikman 24 GB olmuyor. O şekilde yapabilmek için ürüne root yapmanız gerekiyor. Benim için hafıza önemliydi ve bu nedenle de ürünü iade ettim. Teşekkürler hepsiburada.com",Olumsuz
"Telefonu bir süredir kullanıyorum. Üzerinde bir çizik bilek olmamasına rağmen, konuşurken ekran karardı. Yetkili servis içeriden ekran çatlamış, garanti dışı dedi. Nasıl oldu anlamadım. Hiçbir hasar yok darbe yok, görünmeyen bir yerde ekran çatlıyor, ilginç.",Olumsuz
"Berbat bir dizayn. Her yerinde açıklık var, aldığı havanını yarısını
içeri verir. Berbat kötü.",Olumsuz
Çok hızlı bir şekilde elime geldi akabinde evet oldukça sesli ama elektrik süpürgesi kadar iyi çekim gücü var pratik tavsiye ederim,Tarafsız
tost yaparken kasar peynirini tam eritmiyor,Olumsuz
"Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben
kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza
da güvenilir bu arada",Olumlu
İndirimdeyken almıştık gayet kullanışlı güçlü bir ürün,Olumlu
Avantajlar : TASARIM<br />Dezavantajlar : YÜKSEK SESTE AÇINCA BİRAZ BOZULMA<br />ÇOK YÜKSEK SES İLE DİNLENİLDİĞİNDE SESİ BİRAZ BOZUYOR. BU DA DİNLEME KALİTESİNİ OLUMSUZ ETKİLİYOR. TABİ BU OLUMSUZ DURUM DİNLEDİĞİNİZ MÜZİK TÜRÜNE DE BAĞLI. FİYATINDAN DA ANLAŞILACAĞI GİBİ GENEL OLARAK ORTA SEVİYE BİR SES SİSTEMİ,Tarafsız
"Ürünü montaj yapsalar anlayacağım nasıl ya Aras kargo geç getirdi . Ben
12 gün önce aldığım üründen hala montaj bekliyorum .",Tarafsız
Bileşenlerin hepsi 2000li yıllardan kalma tavsiye etmem,Olumsuz
"Ürün de sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo
ücreti aldılar uğraşmak da istemiyorum. demek ki 3 lira mağaza için
değerli bir para.",Olumsuz
"Teşekkür ediyorum ürün çok güzel ve kargo koşa sürede ulaştı.İnternetten almada terettüt etmiştim ama sıkıntı yaşamadım, cihaz 2 yıl Apple  Türkiye garantıli, tavsiye ederim.",Olumlu
"Görüntü estetik gayet güzel, güzel iş göreceğine eminim ama dış malzemesi biraz daha kaliteli tutulabilirdi. Çok tel maşa duruyor.",Tarafsız
"guzel urun, keske gri metal renkli olsaydi sapi daha guzel olurdu, siyah
cikti, bundan haric urun guzel. tesekkurler",Olumlu
3 yıldır kullanıyorum ama yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum nasıl bir süpürme şekilleri var çözemedim . şans işi birazda.tamam biraz daha hassas bir makine.hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var nasıl  TV kumandasina ozen gosteyirsaniz buda öyle. bu süpürgenin bir üst modelini anneme aldık gece mavisi olani şu LED'li olan.almaz olaydik berbat.. çekmiyor ve çok çok hassas halıya yapismiyor bile cektimi çekmedi ki  diye süpürgenin yüzüne bakıyoruz kendine hayrı yok.,Olumlu
"çalışma süresinin kısalığı beni şaşırttı bu da motor gücünün zayıflığını
gösterir sanırım",Tarafsız
Ürün fena değil ama renkleri bana soluk geldi.,Tarafsız
ürün tam istediğim gibi değil ama idare eder.pişirme süresi baya uzun oldu aynı yağla tencerede yapsanız daha çabuk olurdu.,Olumsuz
fiyatı da kullanısı da cok iyi,Olumlu
Sesi çok yüksek. Mikseri çalıştırırken yanında konuşurken kendinizi de karşınızdakini de duyamıyorsunuz.,Tarafsız
Firma farklı ürün gönderdi. eksi not....,Olumsuz
Daha öncede uzun süre kullandığım bir ürün,Olumlu
bugün ilk defa kullanıldı.  ilk izlenim mükemmel olduğu yönünde.,Olumlu
İşletim sistemini kurup güncellemeleri aldığımda bozuldu.,Olumsuz
"Birçok kez kızartma yaptım patates olsun patlıcan olsun kabak olsun ve hepsi çok lezzetli oldu. Size farklı pişirme seçenekleri sunuyor. Üstelik temizlemesi de bir o kadar kolay, herkese tavsiye ederim.",Olumlu
fiyatına göre iyi bir ürün fazla birşey beklemeyin.,Tarafsız
Şipariş ettiğim gün elime ulaştı.ancak sesi çok beğenmedim.,Olumsuz
kullanmadım daha,Tarafsız
"Pratik, güzel bir ürün. Çekiş gücü gayet iyi. Benim gibi tek yaşayanların ufak tefek işlerini çok rahat görüyor. Tek handikapı B sınıfı olması, o konuda takıntılı olduğum için 4 puan veriyorum.",Olumlu
Ürün garantiye gitti geldi şuan için memnunum ancak mağaza berbat,Olumsuz
HAYIR BEĞENMEDİM BOZULDU VE TELEFONU KALDIRMIYORLAR,Olumsuz
1 GÜNDE ELİME ULAŞTI Bİ KAÇ GÜN KULANIDIKTAN SONRA YORUM YAPMAK İSTEDİM.GERÇEKTEN ŞIK BİR TELEFON DAHA ÖNCE LG G5 KULLANIYORDUM MEMNUNUM ÖNERİRİM.,Olumlu
"Ürün ile şimdilik bir sıkıntı bulunmuyor. Bu fiyata daha iyisi olmaz.
Ama satıcının gönderdiği ürünün ambalajı savaştan çıkmış gibi eski çürük
ambalajlı ürün göndermiş.",Olumsuz
Görüntü olarak gayet güzel bir ürün. Ama çaydanlık kısmı tam oturmadığı için iade edeceğim malesef...,Olumsuz
"Arkadaşlar kesinlikle KUMTEL markasını tavsiye etmiyorum. Servis 2 3
haftadan önce gelmiyor kurulum yapmaya. Ben 5 gündür bekliyorum ve
gelmeye niyetleri yok arıyorum her defasında ""yoğunduk gelemedik,
unuttuk gibi bir sürü yalan söyleniyor. Bende kendim takmaya karar
verdim eğer kurulum için bu kadar bekletiyorlarsa garantisi olsa ne
yazar ki? Demek ki ürün GARANTİYE GİTSE DAHA HİÇ GELMEYECEK :))))",Olumsuz
Plastik yazıyor ama plastik değil sanırım dimi her yer de çelik yazıyor siz de plastik aldım ama şüpheye düştüm,Olumsuz
Sorunsuz tam zamaninda geldi.fiyat kalite tatminkar,Olumlu
Olumlu yönleri: Güzel şık fakat çok hassas kırılacak gibi duruyor,Olumlu
Patatesi bilmem ama köfteyi şahane yapıyo 👍,Olumlu
eh güzel orta dereceli,Olumlu
"Arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. Ürün yok
ortada. Alın size yorum.",Olumsuz
"Ürünü çeyizime aldım, paketi açıp denedim hemen ısındı inşallah iyidir :)",Olumlu
"basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic
tavsiye etmem",Olumsuz
Ürün elime gayet hızlı ulaştı. Fiyatına göre kullanışlı iyi bir ürün,Olumlu
"Kesilkle berbat bşr tablet oyun 100 MbLİK OYUN açtım ve tabletin ekranı sıcaklığından yanıyordu resmen..
Kesinlikle kötü, para ekleyip başka bir model alın elinize kalır bu tablet !!",Olumsuz
Çok çok güzel bayıldım,Olumlu
Fatura yok paketleme iyi değil,Olumsuz
Güzel ürün çok memnunum,Olumlu
Kesinlikle beğenmedim,Olumsuz
"hiç beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek
yandı.bazilariniz derki ayarını yapamamış sındır ama ilk defa ütü yapmıyorum,",Olumsuz
"Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek
vaktim olmadı",Olumlu
"urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel
olurmuş...cok beğendim güzel urun",Olumlu
"ürün gayet güzel, fırçası tam istediğim gibi. bir sıkıntı yokta ürünü ambalajsız olarak göndermeleri oldukça ilginç. siteye olan güvenle ilgili sıkıntı yaratıyor. bu konuyla ilgili biraz daha dikkatli olunması gerekiyor bence.",Tarafsız
"2400 wat çekiş gücü oldukça iyi ,suyu fazla koyunca ağzından dışarı atıyor dıkkat etmek lazım,makıneye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu daha ıyı olabilirdir.tavsiye olunur...",Olumlu
