,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
0,0.0,0.8138999938964844,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ses kalite ve ergonomi rezalet Sony için almak ama de fiyat Çin replik ürün almak çok çok daha iyi kesinlikle tavsiye etmek 
1,0.0,0.7997999787330627,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",hızlı teslimat teşekkür 
2,0.0,0.7979000210762024,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",gelmek bir gün kullanmak hemen boz ordu etmek 
3,0.0,0.7332000136375427,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",kullanmak Baymak 
4,0.0,0.6392999887466431,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",dezavantaj pahalı ürün Br merhaba bu lens başka yemek Tl ile Tl ara satmak neden Mediamarkt pahalı fiyat düşünür siz almak 
5,0.0,0.6887000203132629,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün güzel bu par başka bulmak 
6,0.0,0.9327999949455261,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",taşmak ve kalite iyi olmak rağmen yazma hız oldukça düşük kalmak 
7,0.0,0.8991000056266785,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",çok değil çekmek Gu az için puan 
8,4.0,0.7330999970436096,"., çok, ve, bir, için, ,1, ,0, güzel, ama, iyi, da, ürün, bu, Ürün, biraz, gücü, gibi, daha, fakat, göre, değil, gayet, yok, sık, ederim, de, en, olması, ağır, hızlı","Klavye tuşları basmakla basmamak arasında kalıyor. Mouse ara sıra
takılma yapıyor. Başka da bir şey yok.  ,0"
9,4.0,0.8095999956130981,"., çok, ve, bir, için, ,1, ,0, güzel, ama, iyi, da, ürün, bu, Ürün, biraz, gücü, gibi, daha, fakat, göre, değil, gayet, yok, sık, ederim, de, en, olması, ağır, hızlı","Ürün pompasız geliyor. Onun dışında güzel ürün. Pompası olmadığı için 2
yıldız kırdım. Mağaza ürünü zamanında gönderdi.ürün iyi paketlenmişti.  ,0"
